Organism,Morphology,Gram Nature,Optimal Media,Optimal Media Composition (per 100ml),Differential Media,Differential Media Composition,Biochemical Test,Origin/Source,Optimal Growth Temperature (°C),Optimal Growth pH,Optimal Growth Aerobic Conditions
Staphylococcus aureus,"Cocci, spherical, singly in pairs or short chains of 3-4 cells",Gram positive,Tryptic Soy Agar,"Tryptic digest of casein 1.5 g, Soy peptone 1.5 g, Sodium chloride 0.5 g, Dipotassium phosphate 0.25 g, Glucose 0.25 g, Agar 1.5 g",Mannitol Salt Agar,"Beef extract 0.1 g, Peptone 1.0 g, Sodium chloride 7.5 g, Mannitol 1.0 g, Phenol red 0.025 g, Agar 1.5 g","Catalase positive, Coagulase positive, Oxidase negative, Mannitol fermentation positive, Methyl red positive, Voges Proskauer positive","Normal skin flora, mucous membranes, causes nosocomial infections",37,"7,7.2,7.4,7.6","Facultative anaerobe, aerobic preferred"
Escherichia coli,"Rod-shaped, straight, 0.4 to 0.7 micrometers in diameter",Gram negative,Luria Bertani Broth,"Tryptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Agar 1.0 g",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Oxidase negative, Methyl red positive, Voges Proskauer negative, Indole positive, Nitrate reduction positive","Normal intestinal flora, causes urinary tract infections, gastroenteritis",37,"6.5,7,7.5","Facultative anaerobe, aerobic preferred"
Streptococcus pyogenes,"Cocci, spherical or oval, 0.5 to 1 micrometer in diameter, arranged in chains",Gram positive,Blood Agar supplemented with 5 percent sheep blood,"Peptone 1.0 g, Meat extract 0.3 g, Sodium chloride 0.5 g, Agar 1.5 g, Defibrinated sheep blood 5.0 ml",Blood Agar with bacitracin sensitivity test,"Peptone 1.0 g, Meat extract 0.3 g, Sodium chloride 0.5 g, Agar 1.5 g, Defibrinated sheep blood 5.0 ml, Bacitracin disc","Catalase negative, Oxidase negative, Beta hemolysis on blood agar, Bacitracin sensitive, Pyrrolidonyl arylamidase negative","Normal respiratory tract, causes pharyngitis, rheumatic fever, acute poststreptococcal glomerulonephritis",37,"7,7.2,7.5","Facultative anaerobe, 5 to 10 percent carbon dioxide enhances hemolysis"
Streptococcus pneumoniae,"Cocci, lanceolate-shaped diplococci, 0.5 to 1.25 micrometers in diameter",Gram positive,Blood Agar supplemented with 5 percent sheep blood,"Peptone 1.0 g, Meat extract 0.3 g, Sodium chloride 0.5 g, Agar 1.5 g, Defibrinated sheep blood 5.0 ml",Optochin-Bile Solubility Test Medium,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml, Optochin disc, Bile disc","Catalase negative, Oxidase negative, Alpha hemolysis on blood agar, Optochin sensitive, Bile soluble positive","Normal nasopharyngeal flora, causes pneumonia, meningitis, bacteremia",37,"7,7.2,7.5","Facultative anaerobe, 5 percent carbon dioxide required"
Pseudomonas aeruginosa,"Rod-shaped, straight, 0.5 to 0.8 micrometers in diameter, 1.5 to 3 micrometers in length",Gram negative,Luria Bertani Agar,"Tryptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Pseudomonas Isolation Agar,"Protein hydrolysate 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 0.1 g, Irgasan 0.004 g, Agar 1.5 g","Oxidase positive, Catalase positive, Non-fermenting gram negative rod, Arginine dihydrolase positive, Produces pyocyanin pigment","Environmental bacterium, opportunistic pathogen, causes wound infections, respiratory tract infections in hospitalized patients","37,39,40,42","7,7.2,7.5",Strict aerobe
Klebsiella pneumoniae,"Rod-shaped, plump, 0.3 to 0.5 micrometers in diameter, 0.6 to 6 micrometers in length",Gram negative,MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g",Klebsiella Selective Agar,"Peptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Bile salts 0.15 g, Agar 1.5 g","Oxidase negative, Methyl red negative, Voges Proskauer positive, Indole negative, Citrate positive, Urease positive","Normal gastrointestinal flora, environmental bacterium, causes nosocomial infections, pneumonia",37,"6,6.5,7,7.5,8","Facultative anaerobe, aerobic preferred"
Haemophilus influenzae,"Rod-shaped, coccobacillus, pleomorphic, 0.3 to 0.5 micrometers in diameter",Gram negative,Chocolate Agar supplemented with hemin and NAD,"Peptone 1.5 g, Sodium chloride 0.5 g, Cornstarch 0.1 g, Dipotassium phosphate 0.4 g, Monopotassium phosphate 0.1 g, Hemin solution 0.01 g, Nicotinamide adenine dinucleotide (NAD) 0.0005 g, Agar 1.0 g",Chocolate Agar with bacitracin,"Peptone 1.5 g, Sodium chloride 0.5 g, Cornstarch 0.1 g, Dipotassium phosphate 0.4 g, Monopotassium phosphate 0.1 g, Hemoglobin solution (2%) 2.0 ml, Bacitracin 0.01 g, Agar 1.0 g","Oxidase positive, Catalase positive, Gram negative coccobacillus, Indole positive or negative depending on biotype, Urease negative","Normal nasopharyngeal flora, causes meningitis, epiglottitis, otitis media, respiratory infections","35,36,37","7.2,7.3,7.4","Facultative anaerobe, 5 percent carbon dioxide preferred"
Neisseria gonorrhoeae,"Cocci, kidney-shaped or reniform, 0.6 to 1 micrometer in diameter, arranged in pairs",Gram negative,Thayer-Martin Agar,"GC base 3.6 g, Hemoglobin 1.0 g, Supplement 1.0 ml, Vancomycin 0.001 g, Colistin 0.00008 g, Nystatin 0.0001 g, Amphotericin B 0.0001 g, Agar 1.5 g",Thayer-Martin Selective Agar,"GC base 3.6 g, Hemoglobin 1.0 g, Supplement 1.0 ml, Vancomycin 0.001 g, Colistin 0.00008 g, Nystatin 0.0001 g, Agar 1.5 g","Oxidase positive, Catalase positive, Gram negative diplococcus, Glucose fermentation positive, Maltose fermentation negative","Urogenital tract, causes gonorrhea, urethritis, cervicitis","35,36,37","7,7.2,7.5","Microaerophile, 5 to 10 percent carbon dioxide required"
Neisseria meningitidis,"Cocci, kidney-shaped or reniform, 0.6 to 1 micrometer in diameter, arranged in pairs",Gram negative,Thayer-Martin Agar,"GC base 3.6 g, Hemoglobin 1.0 g, Supplement 1.0 ml, Vancomycin 0.001 g, Colistin 0.00008 g, Nystatin 0.0001 g, Amphotericin B 0.0001 g, Agar 1.5 g",Thayer-Martin Selective Agar,"GC base 3.6 g, Hemoglobin 1.0 g, Supplement 1.0 ml, Vancomycin 0.001 g, Colistin 0.00008 g, Nystatin 0.0001 g, Agar 1.5 g","Oxidase positive, Catalase positive, Gram negative diplococcus, Glucose fermentation positive, Maltose fermentation positive","Nasopharyngeal flora, causes meningitis, bacteremia, sepsis","35,36,37","7,7.2,7.5","Microaerophile, 5 to 10 percent carbon dioxide required"
Enterococcus faecalis,"Cocci, spherical or ovoid, 0.6 to 1 micrometer in diameter, in pairs or short chains",Gram positive,Blood Agar,"Peptone 1.0 g, Meat extract 0.3 g, Sodium chloride 0.5 g, Agar 1.5 g, Defibrinated sheep blood 5.0 ml",Bile Esculin Agar,"Beef extract 0.5 g, Peptone 0.5 g, Sodium chloride 0.5 g, Esculin 0.1 g, Ferric citrate 0.05 g, Agar 1.5 g","Catalase negative, Bile esculin positive, Non-hemolytic or alpha-hemolytic on blood agar, Growth in 6.5 percent sodium chloride, Leucine aminopeptidase positive","Normal gastrointestinal flora, urogenital tract, causes urinary tract infections, bacteremia, endocarditis",37,"6.5,7,7.5,8",Facultative anaerobe
Enterococcus faecium,"Cocci, spherical or ovoid, 0.6 to 1 micrometer in diameter, in pairs or short chains",Gram positive,Blood Agar,"Peptone 1.0 g, Meat extract 0.3 g, Sodium chloride 0.5 g, Agar 1.5 g, Defibrinated sheep blood 5.0 ml",Bile Esculin Agar,"Beef extract 0.5 g, Peptone 0.5 g, Sodium chloride 0.5 g, Esculin 0.1 g, Ferric citrate 0.05 g, Agar 1.5 g","Catalase negative, Bile esculin positive, Non-hemolytic or alpha-hemolytic on blood agar, Growth in 6.5 percent sodium chloride, Leucine aminopeptidase positive","Normal gastrointestinal flora, less common in urogenital tract than E. faecalis, causes nosocomial infections",37,"6.5,7,7.5,8",Facultative anaerobe
Salmonella enterica,"Rod-shaped, straight, motile with peritrichous flagella, 0.7 to 1.5 micrometers in length",Gram negative,Salmonella Shigella Agar,"Beef extract 0.5 g, Peptone 0.5 g, Lactose 1.0 g, Sodium chloride 0.5 g, Sodium thiosulfate 0.1 g, Ferric citrate 0.03 g, Agar 1.5 g",Salmonella Shigella Agar,"Beef extract 0.5 g, Peptone 0.5 g, Lactose 1.0 g, Sodium chloride 0.5 g, Sodium thiosulfate 0.1 g, Ferric citrate 0.03 g, Agar 1.5 g","Oxidase negative, Methyl red positive, Voges Proskauer negative, Indole negative, Citrate positive, Hydrogen sulfide positive","Normal gastrointestinal flora of animals, food-borne pathogen, causes gastroenteritis, bacteremia",37,"6.5,7,7.5","Facultative anaerobe, aerobic preferred"
Shigella spp.,"Rod-shaped, straight, typically non-motile or slowly motile, 0.3 to 0.7 micrometers in diameter",Gram negative,Salmonella Shigella Agar,"Beef extract 0.5 g, Peptone 0.5 g, Lactose 1.0 g, Sodium chloride 0.5 g, Sodium thiosulfate 0.1 g, Ferric citrate 0.03 g, Agar 1.5 g",Salmonella Shigella Agar,"Beef extract 0.5 g, Peptone 0.5 g, Lactose 1.0 g, Sodium chloride 0.5 g, Sodium thiosulfate 0.1 g, Ferric citrate 0.03 g, Agar 1.5 g","Oxidase negative, Methyl red positive, Voges Proskauer negative, Indole negative, Citrate negative, Hydrogen sulfide negative","Human-specific pathogen, fecal-oral transmission, causes bacterial dysentery",37,"6.5,7,7.5","Facultative anaerobe, aerobic preferred"
